community,cluster,residents
10186780,1510,15363
10186791,1169,3048
10186821,1195,3417
10186857,182,1489
10189070,1378,1900
10189767,1516,9311
10189779,1417,744
10189780,727,3422
10193590,1519,3749
10193760,1491,1174
10193874,1521,5554
10193886,1522,6538
10193898,54,3088
10193904,1524,62605
10193916,809,1271
10193928,882,1434
10193930,1527,3947
10193941,744,1416
10193953,1462,6432
10193965,496,3076
10193977,1531,14591
10194325,1532,9958
10194404,1533,4330
10194441,1534,9307
10195147,1535,12957
10196553,1023,1890
10196899,1385,1553
10196930,1538,30249
10196942,1071,2153
10196954,64,1350
10196966,1541,15527
10196978,1542,4952
10196980,1543,3088
10197545,1544,4530
10198379,1545,42914
10198975,567,1236
10199207,217,402
10199219,708,4606
10199256,1549,13183
10199347,1383,781
10199359,1551,5979
10199360,1552,9692
10199414,1553,3835
10199438,481,4192
10199645,1555,9892
10199657,1406,2465
10199669,1030,1600
10200570,17,2264
10200581,299,1402
10201378,1662,1253
10201380,25,2100
10201391,1562,26504
10201408,112,8068
10201410,1139,2872
10202220,1696,2263
10202474,1566,6500
10202486,1567,6144
10202498,1568,5163
10205177,416,13201
10206005,1570,6454
10206212,1064,8266
10206224,1572,19922
10206248,1391,1079
10207095,1574,12289
10207101,266,116116
10207113,947,2
10208063,1577,4073
10208350,269,4864
10208361,1300,161
10209006,1383,2137
10209018,533,1981
10209500,1728,1255
10210318,1583,4601
10210380,581,2679
10210392,747,4150
10210410,468,803
10210422,23,5727
10210434,124,2124
10210446,1441,2568
10211220,1590,4966
10211232,1591,3971
10211890,843,3098
10212248,84,1421
10212546,42,2030
10213060,1011,656
10213344,882,75627
10213368,1597,3730
10213502,770,9149
10213514,1599,4046
10213526,1600,20145
10213538,1029,901
10213540,928,1637
10214361,1444,2323
10214749,1604,8232
10214762,616,2161
10214786,1606,5470
10215470,587,1422
10215481,792,2322
10215493,1609,16537
10215547,1610,21219
10215560,535,1610
10216072,1612,6264
10216394,747,1836
10216400,1614,6747
10216606,1615,4871
10216916,858,1343
10216928,1160,2269
10220385,19,1562
10220397,83,1415
10220403,1620,4201
10220415,1621,5543
10220439,792,113
10220440,1623,151601
10220452,550,7131
10220476,1307,3329
10220488,160,1341
10220531,1627,4393
10220567,1628,19494
10220580,1629,7006
10220592,588,1910
10220609,1631,6283
10220610,874,3041
10220622,196,3860
10220634,1634,5497
10220646,1635,3973
10220658,290,483
10220660,882,826
10220671,1676,5254
10220683,1639,5197
10220695,1159,760
10220701,345,1783
10220713,1642,6202
10220725,1306,1923
10220737,1644,6746
10220749,160,3059
10220816,208,1588
10220841,1510,2560
10220853,552,1240
10220865,1649,16657
10220907,1650,1540
10220919,1651,4434
10220920,1652,1168
10220944,1653,4907
10220981,117,1976
10220993,906,2015
10221006,426,1476
10221018,1657,6242
10221020,1492,1250
10221043,1659,7571
10221080,1660,7201
10221092,691,6493
10221109,1662,6953
10221110,1663,3177
10221134,1664,2978
10221146,940,2958
10221158,753,2505
10221160,1667,8714
10221171,178,2137
10221201,1669,4216
10221213,1316,3358
10221225,1671,7179
10221237,379,2585
10221250,974,2079
10221262,181,4133
10221274,1300,498
10221286,1676,4834
10221298,1677,5011
10221304,293,1143
10221316,1692,441
10221328,1680,2627
10221353,615,3768
10221390,1682,4939
10221407,1683,6979
10221419,1684,1780
10221420,244,3016
10221444,1686,14454
10226016,806,663
10226582,2,1500
10228888,1627,1006
10230226,434,951
10236782,1737,966
10237671,1692,9176
10238225,1693,16038
10240750,1650,716
10243040,1744,1360
10243646,1696,31583
10282688,1023,1732
10282810,1698,6173
10284818,654,5323
10287698,1012,7739
10287819,1732,353
10287960,1702,39287
10288149,1710,2611
10288204,1627,2609
10288228,1698,971
10288680,1706,66163
10289087,1326,7363
10292888,1708,18387
10292992,737,1471
10293066,1710,12828
10297345,1711,6334
10299780,1712,62085
10300708,1444,1145
10301373,1714,5103
10302547,1319,1909
10315487,1323,1640
10316376,1722,535
10323654,1718,8179
10326126,1719,3996
10375319,1706,9583
10375411,1721,3738
10378254,1722,2863
10380169,1747,4262
10382970,1724,3064
10383602,416,1362
10383821,1533,2183
10385222,1728,912
10386100,1728,3075
10387139,1600,7389
10388387,1728,1258
10389070,1712,1427
10389422,1732,3252
10392858,1737,1768
10393577,1014,1182
10402621,342,2160
10402682,1534,3312
10404216,1737,1588
10406584,1663,1164
10411798,1011,1042
10411853,535,161
10411932,1760,656
10412213,2,1770
10412225,2,1463
10412237,1744,3215
10413023,1323,805
10413035,1650,261
10413084,1747,10388
10413138,1748,5019
10413163,1722,1762
10413187,654,4343
10427540,1702,2234
10427575,1752,5414
10431750,1012,249
10469909,315,2266
10470511,1479,784
10470523,1406,136
10470547,760,1101
10474620,23,2
10478820,312,1515
10484819,1760,3408
10492026,1761,2698
10492063,584,8365
10492087,1763,8671
10492099,1732,2635
10492221,379,7209
10492233,1766,5026
10492245,388,2046
10492294,24,1775
10492312,104,1682
10492324,322,3171
10492336,1017,857
12796730,1772,4244
20000001,1773,5501
